username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Mike Joynt,19115849,Portland OR,2023-01-20 18:45:32,"@autistic_elii Coffee is water right, asking for a uhhh friend or something",0,Twitter for Android,
Trevor | UGC 📍Men’s Creator,816436423050072068,"Portland, OR",2023-01-20 18:44:31,"@thebanksedit I’m a coffee addict :). Coffee 

https://t.co/LjvkjA1pd5 https://t.co/pniBIQKDYx",0,Twitter for iPhone,
fia,996848076936507392,"Portland, OR",2023-01-20 18:32:02,loudly repeating my credit card information on the phone in a silent coffee shop,0,Twitter for iPhone,
Stephen J. Weber,16427456,"Portland, OR",2023-01-20 18:01:02,It's 10AM. Do you know where your coffee is?,0,IFTTT,
Aaron Karen Rubio,3405972498,"Portland, OR",2023-01-20 17:59:52,Just once I'd like to open a brand new bag of delicious Colombian coffee and find it packed with cocaine,0,Twitter Web App,
So & So,1445854734699536386,"Portland, OR",2023-01-20 17:55:04,Sketchbook goofin’ and other studies that don’t deserve to die in my stories. Super busy today but I’m happy I mana… https://t.co/sPrZouLBDq,0,IFTTT,
Rip City Revival,2467028185,"Portland, OR",2023-01-20 17:45:16,@Pastaguy @historyinmemes “But Brian never has a second cup of coffee at home!…”,0,Twitter for iPhone,
Ben Rieck,364706524,PDX,2023-01-20 17:44:39,"@Hockeygirl3784 I'm a morning person and have never had coffee,  believe it or not",0,Twitter for Android,
DT Deals,971089833144696832,"Portland, OR",2023-01-20 17:41:32,"If you're Jonesing for high-quality espresso and coffee, we've got you covered with these #Nespresso #deals. https://t.co/bHQ4ttdUiD",0,dlvr.it,
Empathischer Neo,445531741,"Damascus, OR",2023-01-20 17:33:28,"@Mussolini_2024 GM King, nice cup of coffee!",0,Twitter Web App,
taylor b.,422380183,"Vancouver, WA",2023-01-20 17:31:39,@Sarahdipity I love you and miss working with you and would bring you your own coffee any day!! 😂💙,0,Twitter for iPhone,
cohost.org/acfoltzer,14234848,"Portland, OR",2023-01-20 17:20:14,"@sigmastarstate if you happen to make it to Portland sometime, I'd be happy to get an outdoor coffee. you're definitely not alone",0,Twitter for Android,
Dan Higham,5965992,"Beaverton, OR",2023-01-20 17:19:02,@MatthewRideout You're making coffee in a microwave? 😆,0,Twitter Web App,
Sarahdipity,18424374,"Vancouver, Washington",2023-01-20 17:16:41,"Thinking about that one time I was at home and accidentally ordered coffee to work, and @taytes26 actually left wor… https://t.co/6LjbbDwME5",1,Twitter for Android,
Rozz | Haunted House Bish,370779429,"Portland, OR",2023-01-20 16:57:54,@bugsmaytrix Holy fuck I almost spit out my coffee!!,0,Twitter for Android,
Brad Olson | 🤓 The Nerd Collective,846052278960373760,"Vancouver, WA",2023-01-20 16:57:04,"Ok, who's looking for a low entry point into a top-tier @NerdCollective_ Nerd?

Nerd #213
Listed @ 0.0476 Eth
OS Ra… https://t.co/QmZxJOshRe",2,Twitter Web App,
Bill Mudron,18518084,"Portland, OR",2023-01-20 16:46:56,These two books are two of the best (and image-filled!) resources out there about the making of the first two Star… https://t.co/OsZzj756pS,0,Twitter for iPad,
David Foster,121868306,"Vancouver, WA",2023-01-20 16:42:43,@TheQuartering $2 ought to do it. Each. And some coffee brand coffee.,0,Twitter for iPhone,
🏳️‍⚧️Krystine: Well-Meaning Gremlin🏳️‍⚧️,39722970,PDX,2023-01-20 16:28:53,"@Typhoid_Kaitlyn @Huntr3ssVi That was me a couple years ago 

I really didn't like coffee, but I needed the caffein… https://t.co/6Hi9uRYBk8",0,Twitter for Android,
Aaron J Smith,10006872,"Portland, OR",2023-01-20 16:28:21,@joshcarlosjosh @quackitude I drink your coffee.,0,Twitter for Android,
JD Campbell,4679044332,"Portland, OR",2023-01-20 15:44:16,@coffee_anytime Never.,0,Twitter for iPhone,
Scott Zieg,103679565,"Portland, Oregon",2023-01-20 15:29:34,@Kristennetten I do not enjoy bitter foods either and avoid things many people love such as coffee. Sounds likely t… https://t.co/fNfmrjNB1f,0,Twitter for iPhone,
⚠️timetopoppussy⚠️,1233578737,"Portland, OR",2023-01-20 15:22:09,"Just did a mini work out at my coffee stand, and it did make me feel invincible for like 2 minutes but now I’m back to sleep",0,Twitter for iPhone,
David Mastrine,794626385381687296,"Portland, OR",2023-01-20 15:11:24,Thinking fondly of the Coffee themed amusement park I went to that one time https://t.co/TIsXIplbdx,0,Twitter for iPhone,
Kiala,7453822,"Portland, OR",2023-01-20 15:06:16,I’m watching season 2 of  Smash which I’ve never seen and drinking iced coffee in bed. Clean bedding too. Pretty good Friday.,0,Twitter for iPhone,
N-N-N-Nifears 🔪👂,1604838466386546689,"Portland, OR",2023-01-20 15:03:12,Enough coffee will provideus the solution to all problems https://t.co/RQ8O2JdTIa,0,Twitter for Android,
Shay,1179569411373461504,"Vancouver, WA",2023-01-20 14:55:22,Need more coffee im so tired I’ve literally sobbed 2x this morning snd im not even at work yet,0,Twitter for iPhone,
NorthFreshCoffee Roasters,2888289303,"Portland, OR",2023-01-20 14:42:26,Just posted a photo @ NorthFresh Coffee Roasters https://t.co/R3MT4oBQQG,0,Instagram,
Shay,1179569411373461504,"Vancouver, WA",2023-01-20 14:41:05,@VeryWickedFella Coffee ans uh i dont see funsies on thwr but i would be funsies,0,Twitter for iPhone,
L.K. Reinmiller - Author of SHIFTER - ‼️NO DM‼️,2611962296,"Portland, OR",2023-01-20 14:37:44,Happy National Coffee Break Day https://t.co/xJLQ85Bv7U,0,Twitter for iPad,
SirCumferance,837079338,"Happy Valley, Oregon",2023-01-20 14:36:36,"@Archeia_Nessiah Coffee is great, love me some coffee, but sleep is pretty cool too.",0,Twitter for Android,
NorthFreshCoffee Roasters,2888289303,"Portland, OR",2023-01-20 14:36:32,Just posted a photo @ NorthFresh Coffee Roasters https://t.co/6AnhdugSA1,0,Instagram,
NorthFreshCoffee Roasters,2888289303,"Portland, OR",2023-01-20 14:35:29,Just posted a photo @ NorthFresh Coffee Roasters https://t.co/UA5rWDznVH,0,Instagram,
NorthFreshCoffee Roasters,2888289303,"Portland, OR",2023-01-20 14:32:53,Just posted a photo @ NorthFresh Coffee Roasters https://t.co/7pt4Hb7W87,0,Instagram,
Daniel Lionberger🇺🇸🦁🗯🌊4🌈2🌍🌊♥️🍺🌎🆘️,130174620,"Portland, Oregon, USA",2023-01-20 14:31:14,"@InvestigatorCps oddly, for a little kid, 2 of my favorite smells were my dad's pipe tobacco and the smell of fresh ground coffee. go figure",0,Twitter for Android,
NorthFreshCoffee Roasters,2888289303,"Portland, OR",2023-01-20 14:25:44,Just posted a photo @ NorthFresh Coffee Roasters https://t.co/GWi3Psn2eX,0,Instagram,
rosa parks and rec,337462298,📍PDX,2023-01-20 14:23:45,Chill on us. It’s the coffee. https://t.co/lyr5X34c8Q,0,Twitter for iPhone,
NorthFreshCoffee Roasters,2888289303,"Portland, OR",2023-01-20 14:23:03,Just posted a photo @ NorthFresh Coffee Roasters https://t.co/7TwYp5x5u1,0,Instagram,
"Dr. Silverback, MD",3422391619,"Portland, OR",2023-01-20 14:20:53,"@InternetnurseRN Coworker: ""Is that USED?""
You, having used it to stir previous cup of coffee: ""Yeah, why?"" *sluuuurp*",0,Twitter for Android,
Kris Brugman,388233887,"Portland, OR",2023-01-20 13:46:22,@Death_Bow also cinder blocks w/ wood planks = bookcase. beat up steamer trunk = coffee/dining table. If you were R… https://t.co/fzy0xGMSdo,0,Twitter for iPhone,
curtis32,708283764,"Portland, OR",2023-01-20 13:26:35,@coffee_anytime Pop AKA soda and cake are gone.,0,Twitter for iPhone,
Sprudge,73280005,"Portland, OR",2023-01-20 13:01:08,"In San Francisco, The Coffee Movement's New Location Is Brewing In Motion https://t.co/PExZfoquGW #sanfrancisco… https://t.co/Qaos5eQYmX",0,CoSchedule,
Paragon Planners,1123668497488273408,"West Linn, OR",2023-01-20 12:49:42,"Take a break. 
Have some coffee. 

#paragonplanners #financialadvisor #wholesaler #virtualassistant #marketing… https://t.co/gQHoZDxU0f",1,Twitter for iPhone,
Pardon My Pain,113704528,"Portland, OR",2023-01-20 11:55:26,Am I a weightlifter? Lol no. Nothing heavier than a fat turtle or my large coffee cup. My doctor gave me some oddba… https://t.co/uHhEFEKWvG,0,Twitter Web App,
FlyingBean Coffee & Tea,75210640,"Tualatin, OR USA",2023-01-20 11:30:09,"Regular and Decaf Specials Starting at $13.35
https://t.co/lXF6xKpSYm
https://t.co/jHmb192fia https://t.co/q8fbf7Go0m",0,Constant Contact - Social Posts,
Adam Ellis,1853443963,"Portland, Oregon",2023-01-20 10:49:24,@ClownWorld_ take her to coffee/tea first. problem solved.,0,Twitter Web App,
Lino,1456212252181372930,"Portland, OR",2023-01-20 10:04:04,@coffee_anytime $1.5 an hour,0,Twitter Web App,
Blood Thoughtz,591443409,"Portland, Oregon",2023-01-20 09:08:00,"""Thanks to coffee and anxiety I no longer sleep, I just funnel that energy into work"" -@erikmona 

I could aspire to this",0,Twitter Web App,
Justin Underwood,1226221154,"Vancouver, WA",2023-01-20 08:51:51,"@Death_Bow I was soooo classy in the 90s, like Miller Genuine Draft neon sign in my kitchen classy! My equally clas… https://t.co/GKGdhZ9h18",0,Twitter for iPhone,
Parking Jerk,3041919541,Portland ,2023-01-20 07:55:04,@joshhart Drink coffee and dread the coming summer.  Works for me.,0,Twitter for iPhone,
Ms. BAG,258128306,"Portland, Oregon",2023-01-20 07:29:45,I'm reading this forum post from 10 years ago where this man accidentally dropped his cup of coffee into the fish t… https://t.co/J21qvDjz96,0,Twitter Web App,
Zray! 🚂💨 @ ANE DD19,3374281678,"Portland, OR",2023-01-20 07:13:03,@zoeydogy We open at 9:30!!!! I need coffee before!!,0,Twitter for iPhone,
Matt Youell,14594667,PDX,2023-01-20 07:00:01,"@KYouell ""They found that instant coffee was the most environmentally sound.""

😀",0,Twitter Web App,
david tveite,193525549,"Portland, OR",2023-01-20 06:59:40,@heyguys_heyguys about 80% of my peers have the same 35 dollar ikea coffee table,0,Twitter for Android,
Rex Bentley,1422284461031321600,"Portland, OR",2023-01-20 06:38:02,@coffee_anytime C all day long,0,Twitter for iPhone,
Rex Bentley,1422284461031321600,"Portland, OR",2023-01-20 06:33:08,@coffee_anytime YouTube post some good stuff,0,Twitter for iPhone,
Just Deb,1263339192139931648,"Portland, OR",2023-01-20 06:17:05,@GoldenCurlze We used wood planks &amp; cinder blocks to hold our stereo components hubby brought home from Vietnam.Als… https://t.co/ANYPtFEDTV,0,Twitter for iPhone,
Jordyn,1541268514736070657,"Portland, OR",2023-01-20 06:02:48,@TitanTy24 @DeathWishCoffee Omg when I was diagnosed with panic disorder I actually had the opposite told to me by… https://t.co/JeljtXaj9d,0,Twitter for Android,
Jordyn,1541268514736070657,"Portland, OR",2023-01-20 05:59:52,@DeathWishCoffee As a kid I got up early. We were staying at my grandma's house for a few days over Christmas. I go… https://t.co/YOIPnILMi9,0,Twitter for Android,
YasuoHatsu - Read Mahoju,948482432101113857,"Tigard, OR",2023-01-20 05:04:15,@OctopusHermit How does Martony like coffee (if at all)?,0,Twitter Web App,
Chris Clark,4861135554,"Portland, OR",2023-01-20 04:42:21,Our Overlords are coffee house open micers https://t.co/roHfHPvOp7,3,Twitter for iPhone,
Matt,64935832,"Portland, OR",2023-01-20 04:37:19,@notmiketate The blue collar coffee pot no less. Psychotic,0,Twitter for iPhone,
Noel Deal,1453116015051612160,"Gresham, OR",2023-01-20 04:30:56,@coffee_anytime Bacon,0,Twitter for Android,
Rod Hillen,24944635,"Portland, OR",2023-01-20 04:24:50,@SassyCanadian0 @kristabellerina Why is your coffee wearing underwear?,0,Twitter for iPhone,
Badd Company,868673067223887872,"Portland, OR",2023-01-20 04:00:09,"I'm starting to think I had coffee with this Judge😆

I definitely want to have a beer with the Judge though, just n… https://t.co/SGWUt1IyG5",100,Twitter Web App,
Kimmy Buckle,785212435871461376,"Fairview, OR",2023-01-20 03:19:08,@coffee_anytime Ketchup!!! https://t.co/96aDcBaNgs,0,Twitter for iPhone,
Megan Justice EA LTC ☮️,92177111,"Portland, OR",2023-01-20 02:54:48,"@JWellsCFO @adammarkowitzEA Just..show up and sit with coffee and talk to people in the halls?

I can get behind this plan.",0,Twitter for Android,
The Goat Path,726926326947434497,PDX,2023-01-20 02:23:44,@LetAmyTry I’ll let you know when I don’t need coffee and red bull in the morning,0,Twitter for iPhone,
Chris Carvalho,4661058807,"Portland, OR",2023-01-20 01:59:35,"@tveitdal If the pod goes into a landfill, it will release methane as the grounds inside decompose. Pod users shoul… https://t.co/2boeJ8wfO8",0,Twitter for iPhone,
Josh Sargent,308362668,PDX,2023-01-20 01:40:46,"Had a Spanish coffee with dinner - there’s an extremely high chance the dog,  infant and I will be going for a midnight walk on the beach.",0,Twitter for iPhone,
your top-shelf bottom-elf,325259150,"Portland, OR",2023-01-20 01:27:41,Late afternoon coffee ♥️ https://t.co/9M6gJFxUsL,0,Twitter for iPhone,
🌱Bean🌱,1942818878,"Beaverton, OR",2023-01-20 01:25:53,@monkeyminion I want one of those “fuled by coffee and rage” ones lmao,0,Twitter for iPhone,
Nathanael May,1451101,PDX,2023-01-20 01:11:26,@meghanannette A lot of coffee companies could stand to listen to a wet blanket or two,0,Twitter for iPhone,
Tony J,2282365411,PDX,2023-01-20 01:10:16,@GeorgeTakei Your morning coffee contributes to Climate change. How do you feel about that?,0,Twitter for Android,
"Vivienne Meljen, MD",3202195912,PDX,2023-01-20 00:58:59,@DrPayItBack Man mine didn’t even buy me a coffee! The wage gap is so real,0,Twitter Web App,
RaWiltz_4kingz,1859085254,"Vancouver, WA",2023-01-20 00:47:26,@PrettyMellow_ What you said is true dates do cost.. I like a lil coffee date or a walk down the strip before I drop 500 on a date..,0,Twitter for Android,
Sushi Snaccs 🍣🍡🍚🍌🍙🍢,3313671864,"Portland, OR",2023-01-20 00:45:19,"jfc, mel told us that canister was coffee... https://t.co/Ysv3aMUJIU",0,Twitter Web App,
Sascha 🐀,26373311,"Portland, OR",2023-01-20 00:40:09,I just earned the 'Wake Up and Smell The Coffee! (Level 13)' badge on @untappd! https://t.co/QwcRdlHHpC,0,Untappd,
Garrett Morrison,802607470229102592,"Portland, OR",2023-01-20 00:36:12,"@KevinBarton11 It's simple, really: if the coffee is there, I'm drinking it",0,Twitter for Android,
Kendra Hogue,14578276,"Portland, OR",2023-01-20 00:15:18,"@CompleatProduct @wordsfell @Death_Bow @zeldman Hellloooo, coffee table!",0,Twitter for iPhone,
kayla,144178580,"Portland, OR",2023-01-20 00:08:21,@moon_gazer__ Somethings wrong with me and night coffee makes me sleep.,0,Twitter for iPhone,
Matt Overton,713746529627086848,"Vancouver, WA",2023-01-20 00:06:24,"@SteveChalke @KirstieMAllsopp @BBCr4today According to my wife’s master’s thesis: No. Steve, 4 years ago you and I… https://t.co/zPATU9shOG",0,Twitter for iPhone,
Sprudge,73280005,"Portland, OR",2023-01-19 23:57:03,On the latest edition of Coffee Design we're checking in with the massively influential @MeccaCoffee of Sydney. Ope… https://t.co/bvDQBErKS9,0,CoSchedule,
Alexandra Productions |AP| DOMESTIC COMPANY,1552875407250112513,"Vancouver, Washington, USA",2023-01-19 23:46:12,"NUTMEG IN YOUR COFFEE

GROWTH PATTERN",0,Twitter Web App,
rBay,245226199,"Portland, OR",2023-01-19 23:37:00,Days like today make me feel like a machine that turns coffee into code,0,Twitter Web App,
wise man dumb bitch,466913346,"Portland, OR",2023-01-19 23:28:57,Oops I.  Drabnk 24 ounces of drip coffee and smoked 6 cigs,0,Twitter for iPhone,
Ryan Diffenbaugh,260374545,"Portland, OR",2023-01-19 23:06:14,@NessaTabasco Man I can nap right after a coffee too 🥲,0,Twitter for Android,
Jake Chamseddine,585988761,"Portland, OR",2023-01-19 22:52:57,Coffee and break lights https://t.co/yWAZ3cItKC,5,Twitter for iPhone,
heart astrologer,16920909,Portland Oregon,2023-01-19 22:45:53,Moon Square Jupiter in Aries right now. Don’t start any fights with the Antifa milling about the coffee machine.… https://t.co/A3KoY0qBTS,1,Twitter for iPhone,
Wtfportland,1474539539905409024,"Portland, OR",2023-01-19 22:34:44,"Coffee shop owner in downtown Portland attacked, suspect arrested https://t.co/PxjGiKR6TA",11,Twitter for iPhone,
Noah Brand,535190777,"Portland, OR",2023-01-19 22:14:14,"@Death_Bow Using a packing trunk as a coffee table, one of those cheap pressboard ones that were meant to look old-… https://t.co/z7XHY9l0UV",0,Twitter Web App,
dee cee,170880778,"portland,or.",2023-01-19 22:08:32,"@TheChibiGuru @PamelaBwell @patriottakes sort of like a blank canvas. i wonder what it’s like inside his head?
he p… https://t.co/7DLhTUlTJ9",0,Twitter for iPad,
Equal Exchange West,1115548495,"Portland, Oregon",2023-01-19 21:55:14,"@h3h3productions Hey Ethan, 

We noticed on Leftovers today you had a can of Stumptown CB.
We don't like them cause… https://t.co/pnTPnDjM19",0,Twitter Web App,
siri sedai,36656861,PDX,2023-01-19 21:39:33,@SphynxMother @BitterTier COFFEE UP THE NOSE,0,Twitter for Android,
Zach Kay,15898094,"Portland, OR",2023-01-19 21:27:42,"Working at a coffee shop and listening to some woo-woo explanation of how ""we are conscious from the moment of conc… https://t.co/qVUczFwMNB",0,Twitter Web App,
Jeremy,3740396713,"Portland, OR",2023-01-19 20:53:29,@Death_Bow I had a bunch of cinder block and boards shelving and furniture. Cannot forget about the old wire spool coffee table either…,0,Twitter for iPhone,
Wendy N. Wagner 🎃,323357414,"Portland, OR",2023-01-19 20:52:08,"@mmdaviesostrom When my music major roommate got a keyboard for her birthday, we used the styrofoam packaging as a… https://t.co/5JZEVHWhD7",0,Twitter Web App,
Sprudge,73280005,"Portland, OR",2023-01-19 20:44:05,"If somebody texts you a link to a story that claims ""actually pods are better for the earth"" please please send the… https://t.co/UhWFXR6ZWD",2,Twitter Web App,
Joe Snell,21466057,"Portland, Oregon",2023-01-19 20:36:33,@jessicahische Find a new coffee shop - spice it up 😉,0,Twitter for iPhone,
sludge eater,1476382696163078145,PDX,2023-01-19 20:35:57,"every time i get dutch bros i think to myself ""what a scam. how are they open? this coffee sucks &amp; costs so much.""… https://t.co/lj4JORcFwh",0,Twitter for iPhone,
Séamus Patrick Burke,107767557,Portland OR,2023-01-19 20:32:46,@Death_Bow So the halcyon days when a spool could be a coffee table.,0,Twitter for iPhone,
KATU News,17994536,"Portland, Oregon",2023-01-19 20:30:00,"It's official: Starbucks will soon offer delivery to all 50 states through DoorDash.

https://t.co/FJkSSbupfe",1,TweetDeck,
caleb,518161712,"Portland, OR",2023-01-19 20:09:31,"@sunoakk venti iced coffee, no sweetener. sometimes with a splash of oat milk if i’m feeling wild 🤪",0,Twitter for iPhone,
Tay Octo,841047621116420096,"Portland, OR",2023-01-19 20:09:25,| Coffee Sloot | Trying to make Widows | ENVTUBER | https://t.co/OoRgc2qBjH,0,Streamlabs Twitter,
Kate Lessard,989897363526332416,"Portland, OR",2023-01-19 20:00:55,Had coffee with one of my all time favorite humans today! @HayleyTuller @cactusforce48 https://t.co/cIUxmdGQas,0,Twitter for iPhone,
Abba Lee Miller Lite,862889875359453184,"Portland, OR",2023-01-19 19:51:11,Does anyone want to buy me coffee today lol,0,Twitter for iPhone,
Big Country Benjamin 🌶,3178383866,"Portland, OR",2023-01-19 19:47:03,Gonna do that thing where I drink coffee and then probably fall asleep,0,Twitter Web App,
Kat,1338421930009882624,"Portland, OR",2023-01-19 19:46:06,plus this horrible iced coffee i paid $9 for because i wanted to support local businesses but it’s so bad but i’m m… https://t.co/DYtGC4JX6o,0,Twitter for iPhone,
Sprudge,73280005,"Portland, OR",2023-01-19 19:36:02,The Pods Must Be Crazy: Why The Coffee Pod Carbon Impact Story You Just Read Is Wrong https://t.co/uawtdYOt8t… https://t.co/TgeVSpNx9t,1,CoSchedule,
MachineGunKaylee,1055840442091212801,"Vancouver, WA",2023-01-19 19:30:17,Addiction runs in my family. Both sides. I was bragging about how I broke the cycle (thinking drugs and alcohol) th… https://t.co/jRDXSCxpGU,0,Twitter for iPhone,
K,230528850,"Portland, OR",2023-01-19 19:28:51,A bottle of syrup for coffee is close to $30 and I’ve seen people have like 6 bottles of different syrups in their videos 🥴,0,Twitter for iPhone,
Bradley D. Wall,1354123094986637312,"Vancouver, Washington",2023-01-19 19:17:12,"@MarkKSkinner3 @deesnider ""Good Coffee"" is subjective.  Some people really like one coffee, while it makes others s… https://t.co/DRybZOXKzY",0,Twitter Web App,
Anarchist Type Beat,2549478331,"Portland, Or",2023-01-19 19:12:41,@NotAlexis I've had people give me a to go cup when I leave for my coffee because I can't control myself around complimentary refills.,0,Twitter Web App,
Brianne Taylor,453150831,"Portland, OR",2023-01-19 19:06:47,"Catering my first rehearsal dinner and wedding the next two days. Nerves are high, coffee is full, and I’m ready😎",0,Twitter for iPhone,
Daniel Hückmann | 🦣 @sanitybit@infosec.exchange,46267499,Portland Oregon,2023-01-19 19:00:50,"@seconds_0 Very close to traditional medium roast coffee. It's been a while since I drank it black, but it wasn't o… https://t.co/HzEG78QIhX",0,Twitter Web App,
Tamoura Curry,1501300259997159427,Portland Or,2023-01-19 18:46:03,"@linnlin_sl This has to be one of the worst inventory features rolled out, don't mess with folders if you have NOT… https://t.co/azmWFifMEW",0,Twitter Web App,
Daniel Hückmann | 🦣 @sanitybit@infosec.exchange,46267499,Portland Oregon,2023-01-19 18:40:27,"@seconds_0 Our household is a big fan of the Four Sigmatic Lion's Mane coffee:

https://t.co/cKx5ksAoHi

We usually… https://t.co/wrAwe9Zxfi",0,Twitter Web App,
Sprudge,73280005,"Portland, OR",2023-01-19 18:40:03,A new study finds that coffee—sweetened coffee in particular—is associated with higher instances of male pattern ha… https://t.co/AIQttjAOEY,0,CoSchedule,
@marisamorby@mastodon.design,1626972834,Portland Oregon,2023-01-19 18:27:42,@jessicahische In that case I always try and see if they have tea. But vibes over coffee every time.,0,Twitter Web App,
just an mph in pdx,1175860477273890816,"Portland, OR",2023-01-19 18:27:29,"Coffee Walk, 2023-01-19
Foster Road, Portland, OR
Bonus self portrait. https://t.co/Qa1doyErS8",0,Micro.blog,
yikes.,372635587,Portland,2023-01-19 18:25:41,love it when French people drink coffee out of a bowl like “meow un café s’il vous plaît meow meow”,1,Twitter for iPhone,
Sprudge,73280005,"Portland, OR",2023-01-19 18:23:49,"New job posted: Dune Coffee Roasters is hiring a Wholesale Representative and Trainer in Santa Barbara, California.… https://t.co/PAe1uvAHlB",0,Twitter Web App,
El Jefeweizen,1548896072067518464,"Portland, OR",2023-01-19 18:12:02,@SoundsnColor @SusanGriffin530 Susan will be happy to know that there were some people that even pretended to wash… https://t.co/GoWcf00LKt,0,Twitter for iPhone,
Alexandra Productions |AP| DOMESTIC COMPANY,1552875407250112513,"Vancouver, Washington, USA",2023-01-19 18:04:44,COFFEE,0,Twitter Web App,
Sprudge,73280005,"Portland, OR",2023-01-19 18:04:11,"New job posted: Clive Coffee is hiring a Customer Experience Associate in Portland, Oregon. @CliveCoffee https://t.co/OW9NcN4fsV",1,Twitter Web App,
Stephen J. Weber,16427456,"Portland, OR",2023-01-19 18:01:08,It's 10AM. Do you know where your coffee is?,0,IFTTT,
🌙🐾🏳️‍⚧️,284318955,"Portland, OR",2023-01-19 17:47:54,i got myself an iced coffee this morning but i put it on my desk to lay down for a second and now im being held hos… https://t.co/RCSjeLI9E6,0,Twitter for iPhone,
Sprudge,73280005,"Portland, OR",2023-01-19 17:47:40,"New job posted: Temple Coffee Roasters is hiring a Production Roaster in Sacramento, California. @templecoffee",0,Twitter Web App,
